phecodes,task,phenotype
801.0,801.0,Fracture of ankle and foot
801.1,801.1,Fracture of foot
802.0,802.0,Fracture of pelvis
803.0,803.0,Fracture of upper limb
803.1,803.1,Fracture of humerus
803.2,803.2,Fracture of radius and ulna
803.21,803.21,Colles' fracture
803.3,803.3,Fracture of clavicle or scapula
804.0,804.0,Fracture of hand or wrist
805.0,805.0,Fracture of vertebral column without mention of spinal cord injury
807.0,807.0,Fracture of ribs
809.0,809.0,Fracture of unspecified bones
816.0,816.0,Cerebral laceration and contusion
817.0,817.0,Concussion
818.0,818.0,Intracranial hemorrhage (injury)
818.1,818.1,Subdural hemorrhage (injury)
818.2,818.2,Subarachnoid hemorrhage (injury)
819.0,819.0,Skull and face fracture and other intercranial injury
823.0,823.0,Torus fracture
830.0,830.0,Dislocation
835.0,835.0,Internal derangement of knee
836.0,836.0,Traumatic arthropathy
840.0,840.0,Sprains and strains
840.1,840.1,Muscle/tendon sprain
840.2,840.2,Rotator cuff (capsule) sprain
840.3,840.3,Joint/ligament sprain
841.0,841.0,Sprains and strains of back and neck
842.0,842.0,Other sprains and strains
850.0,850.0,Hemorrhage or hematoma complicating a procedure
851.0,851.0,Complications of transplants and reattached limbs
853.0,853.0,Complication of colostomy or enterostomy
854.0,854.0,"Complications of cardiac/vascular device, implant, and graft"
855.0,855.0,"Complication of nervous system device, implant, and graft"
856.0,856.0,Vascular complications of surgery and medical procedures
857.0,857.0,"Mechanical complication of unspecified genitourinary device, implant, and graft"
858.0,858.0,Complication of internal orthopedic device
859.0,859.0,Complication due to other implant and internal device
860.0,860.0,Bone marrow or stem cell transplant
870.0,870.0,Open wounds of head; neck; and trunk
870.1,870.1,Open wound or laceration of eye or eyelid
870.2,870.2,Open wound of ear
870.3,870.3,Other open wound of head and face
870.4,870.4,Open wound of nose and sinus
870.5,870.5,Open wound of lip and mouth
870.6,870.6,Open wound of neck
870.8,870.8,Open wound of genital organs
871.0,871.0,Open wounds of extremities
871.1,871.1,Open wound of hand except finger(s)
871.2,871.2,Open wound of finger(s)
871.3,871.3,Open wound of foot except toe(s) alone
871.4,871.4,Open wound of toe(s)
872.0,872.0,Traumatic amputation
873.0,873.0,Broken tooth
874.0,874.0,Complication of amputation stump
875.0,875.0,Non-healing surgical wound
876.0,876.0,Posttraumatic wound infection not elsewhere classified
905.0,905.0,Late effects of musculoskeletal and connective tissue injuries
906.0,906.0,Late effects of injuries to skin and subcutaneous tissues
907.0,907.0,Injuries to the nervous system
908.0,908.0,Late effects of other injuries
909.0,909.0,Late effects of external causes
910.0,910.0,"Superficial injury, infected"
911.0,911.0,Blister
912.0,912.0,Insect bite
913.0,913.0,Toxic effect of venom
915.0,915.0,Superficial injury without mention of infection
916.0,916.0,Contusion
930.0,930.0,Allergic reaction to food
931.0,931.0,Contact dermatitis and other eczema due to plants [except food]
938.0,938.0,Dermatitis due to solar radiation
938.1,938.1,Acute dermatitis due to solar radiation
938.2,938.2,Chronic dermatitis due to solar radiation
939.0,939.0,Atopic/contact dermatitis due to other or unspecified
939.1,939.1,Contact and allergic dermatitis of eyelid
941.0,941.0,Adverse reaction to serum or vaccine
942.0,942.0,Infusion and transfusion reaction
946.0,946.0,Anaphylactic shock NOS
947.0,947.0,Urticaria
949.0,949.0,"Allergies, other"
949.1,949.1,Diaper or napkin rash
952.0,952.0,Spinal cord injury without evidence of spinal bone injury
957.0,957.0,Injury to other and unspecified nerves
958.0,958.0,Certain early complications of trauma or procedure
958.1,958.1,Postoperative shock
958.2,958.2,Traumatic and surgical subcutaneous emphysema
960.0,960.0,Poisoning by antibiotics
960.1,960.1,Adverse effects of antibacterials (not penicillins)
960.2,960.2,Allergy/adverse effect of penicillin
960.3,960.3,Poisoning by antifungal antibiotics
961.0,961.0,Poisoning by other anti-infectives
961.1,961.1,Poisoning/allergy of sulfonamides
962.0,962.0,Poisoning by hormones and synthetic substitutes
962.1,962.1,Adrenal cortical steroids causing adverse effects in therapeutic use
962.2,962.2,Insulins and antidiabetic agents causing adverse effects in therapeutic use
962.3,962.3,Hormones and synthetic substitutes causing adverse effects in therapeutic use
963.0,963.0,Poisoning by primarily systemic agents
963.1,963.1,Antineoplastic and immunosuppressive drugs causing adverse effects
964.0,964.0,Poisoning by agents primarily affecting blood constituents
964.1,964.1,Anticoagulants causing adverse effects
965.0,965.0,"Poisoning by analgesics, antipyretics, and antirheumatics"
965.1,965.1,Opiates and related narcotics causing adverse effects in therapeutic use
965.2,965.2,Antirheumatics causing adverse effects in therapeutic use
965.3,965.3,Salicylates causing adverse effects in therapeutic use
966.0,966.0,Poisoning by anticonvulsants and anti-Parkinsonism drugs
967.0,967.0,Adverse effects of sedatives or other central nervous system depressants and anesthetics
969.0,969.0,Poisoning by psychotropic agents
971.0,971.0,Poisoning by drugs primarily affecting the autonomic nervous system
972.0,972.0,Poisoning by agents primarily affecting the cardiovascular system
972.1,972.1,Cardiac rhythm regulators causing adverse effects in therapeutic use
972.2,972.2,Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use
972.6,972.6,Antihypertensive agents causing adverse effects
973.0,973.0,Poisoning by agents primarily affecting the gastrointestinal system
974.0,974.0,"Poisoning by water, mineral, and uric acid metabolism drugs"
975.0,975.0,Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system
976.0,976.0,"Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs"
977.0,977.0,Personal history of allergy to medicinal agents
979.0,979.0,Adverse drug events and drug allergies
980.0,980.0,Encounter for long-term (current) use of antibiotics
981.0,981.0,Toxic effect of (non-ethyl) alcohol and petroleum and other solvents
983.0,983.0,"Toxic effect of corrosive aromatics, acids, and caustic alkalis"
984.0,984.0,Toxic effect of lead and its compounds (including fumes)
985.0,985.0,Toxic effect of other metals
986.0,986.0,Toxic effect of carbon monoxide
987.0,987.0,"Toxic effect of other gases, fumes, or vapors"
988.0,988.0,Toxic effect of noxious substances eaten as food
989.0,989.0,"Toxic effect of other substances, chiefly nonmedicinal as to source"
990.0,990.0,Effects radiation NOS
994.0,994.0,Sepsis and SIRS
994.1,994.1,Systemic inflammatory response syndrome (SIRS)
994.2,994.2,Sepsis
994.21,994.21,Septic shock
996.0,996.0,Complications peculiar to certain specified procedures
1000.0,1000.0,Burns
1001.0,1001.0,Foreign body injury
1002.0,1002.0,"Symptoms concerning nutrition, metabolism, and development"
1004.0,1004.0,Other signs and symptoms involving emotional state
1005.0,1005.0,Other symptoms
1006.0,1006.0,Crushing injury
1007.0,1007.0,Injury to blood vessels
1008.0,1008.0,Crushing or internal injury to organs
1009.0,1009.0,"Injury, NOS"
1010.0,1010.0,Other tests
1010.1,1010.1,screening for infectious and parasitic diseases
1010.2,1010.2,screening for malignant neoplasms
1010.3,1010.3,screening for other diseases and disorders
1010.4,1010.4,Genetic Test
1010.6,1010.6,Persons encountering health services in circumstances related to reproduction
1010.7,1010.7,"Persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances"
1011.0,1011.0,Complications of surgical and medical procedures
1012.0,1012.0,Late effect
1013.0,1013.0,Asphyxia and hypoxemia
1014.0,1014.0,"Effects of heat, cold and air pressure"
1015.0,1015.0,Effects of other external causes
1019.0,1019.0,Other ill-defined and unknown causes of morbidity and mortality
1089.0,1089.0,Acquired absence of limb
1090.0,1090.0,Acquired absence of organs
1100.0,1100.0,Family history
,mash,
,cirrhosis,
