phecodes,task,phenotype
244.3,244.3,Iodine hypothyroidism
244.4,thyroid,Hypothyroidism NOS
244.4,244.4,Hypothyroidism NOS
244.5,244.5,Congenital hypothyroidism
245.0,245.0,Thyroiditis
245.0,thyroid,Thyroiditis
245.1,245.1,"Thyroiditis, acute and subacute"
245.2,245.2,Chronic thyroiditis
245.2,thyroid,Chronic thyroiditis
245.21,thyroid,Chronic lymphocytic thyroiditis
245.21,245.21,Chronic lymphocytic thyroiditis
246.0,thyroid,Other disorders of thyroid
246.0,246.0,Other disorders of thyroid
246.2,246.2,Thyroid cyst
246.7,246.7,Abnormal results of function study of thyroid
246.7,thyroid,Abnormal results of function study of thyroid
249.0,diabetes,Secondary diabetes mellitus
249.0,249.0,Secondary diabetes mellitus
250.0,250.0,Diabetes mellitus
250.0,diabetes,Diabetes mellitus
250.1,250.1,Type 1 diabetes
250.11,250.11,Type 1 diabetes with ketoacidosis
250.12,ckd,Type 1 diabetes with renal manifestations
250.12,250.12,Type 1 diabetes with renal manifestations
250.13,250.13,Type 1 diabetes with ophthalmic manifestations
250.14,250.14,Type 1 diabetes with neurological manifestations
250.15,250.15,Diabetes type 1 with peripheral circulatory disorders
250.2,diabetes,Type 2 diabetes
250.2,250.2,Type 2 diabetes
250.21,diabetes,Type 2 diabetes with ketoacidosis
250.21,250.21,Type 2 diabetes with ketoacidosis
250.22,250.22,Type 2 diabetes with renal manifestations
250.22,diabetes,Type 2 diabetes with renal manifestations
250.22,ckd,Type 2 diabetes with renal manifestations
250.23,diabetes,Type 2 diabetes with ophthalmic manifestations
250.23,250.23,Type 2 diabetes with ophthalmic manifestations
250.24,250.24,Type 2 diabetes with neurological manifestations
250.24,diabetes,Type 2 diabetes with neurological manifestations
250.25,diabetes,Diabetes type 2 with peripheral circulatory disorders
250.25,250.25,Diabetes type 2 with peripheral circulatory disorders
250.3,250.3,Insulin pump user
250.4,250.4,Abnormal glucose
250.41,250.41,Impaired fasting glucose
250.41,diabetes,Impaired fasting glucose
250.42,250.42,Other abnormal glucose
250.5,250.5,Glycosuria or Acetonuria
250.6,250.6,Polyneuropathy in diabetes
250.7,diabetes,Diabetic retinopathy
250.7,250.7,Diabetic retinopathy
251.0,251.0,Other disorders of pancreatic internal secretion
251.1,251.1,Hypoglycemia
251.8,251.8,Abnormality of secretion of glucagon or gastrin
252.0,bone_metabolism,Disorders of parathyroid gland
252.0,252.0,Disorders of parathyroid gland
252.1,thyroid,Hyperparathyroidism
